Year,Quarter,Type_of_application,Category_of_leave,Industry,Applications
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities",453
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,41
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,88
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Education,538
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,873
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",66
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,77
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,2
2010,2010 Q4,Extensions of stay,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,2
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",7
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Administrative and support service activities,8
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Education,20
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,1
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",27
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,19
2010,2010 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,1
2011,2011 Q1,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",13
2011,2011 Q1,Visa,Worker (Previously Tier 2),Mining and Quarrying,210
2011,2011 Q1,Visa,Worker (Previously Tier 2),Manufacturing,609
2011,2011 Q1,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",16
2011,2011 Q1,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",5
2011,2011 Q1,Visa,Worker (Previously Tier 2),Construction,77
2011,2011 Q1,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,167
2011,2011 Q1,Visa,Worker (Previously Tier 2),Transportation and Storage,83
2011,2011 Q1,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,364
2011,2011 Q1,Visa,Worker (Previously Tier 2),Information and Communications,4281
2011,2011 Q1,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,1240
2011,2011 Q1,Visa,Worker (Previously Tier 2),Real estate activities,5
2011,2011 Q1,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities",1652
2011,2011 Q1,Visa,Worker (Previously Tier 2),Administrative and support service activities,81
2011,2011 Q1,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,35
2011,2011 Q1,Visa,Worker (Previously Tier 2),Education,234
2011,2011 Q1,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,361
2011,2011 Q1,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",145
2011,2011 Q1,Visa,Worker (Previously Tier 2),Other Service Activities,82
2011,2011 Q1,Visa,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,5
2011,2011 Q1,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,3
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",10
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Manufacturing,23
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,31
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,73
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Information and Communications,187
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,6
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Real estate activities,4
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",100
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,337
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,13
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Education,584
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,282
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",6304
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,386
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,5
2011,2011 Q1,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,50
2011,2011 Q1,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,61
2011,2011 Q1,Extensions of stay,Worker (Previously Tier 2),Manufacturing,151
